Nom_Commercial,DCI,Dosage,Prix_DZD
CANDERAX PLUS,"CANDESARTAN
CILEXETIL /","16MG/12,5MG",0.0
BLOPRESS 16MG,CANDESARTAN CILEXETIL,16MG,0.0
ATACAND,CANDESARTAN  (SOUS FORME DE CILEXETIL)**,16MG,0.0
ATABEK,CANDESARTAN CILEXETIL,16MG,0.0
CARDAXEL BGL,"CANDESARTAN
CILEXETIL",16MG,0.0
SARCAND,CANDESARTAN CILEXETIL,16MG,0.0
CANDERAX,"CANDESARTAN
CILEXETIL",16MG,0.0
SARTIX,CANDESARTAN CILEXETIL,16MG,0.0
THIA-VALSAN,"Valsartan /
Hydrochlorothiazide","160MG/12,5MG",0.0
CO VALASTAN,Valsartan / Hydrochlorothiazide,"160MG/12,5MG",0.0
COSARTEG,"Valsartan /
Hydrochlorothiazide","160MG/12,5MG",0.0
CO-ARBITAN,"Valsartan /
Hydrochlorothiazide","160MG/12,5MG",0.0
"VALSARTAN/
HYDROCHLOROTH","Valsartan /
Hydrochlorothiazide","160MG/12,5MG",0.0
CO-VALEX,Valsartan / Hydrochlorothiazide,"160MG/12,5MG",0.0
COVESTAG,Valsartan / Hydrochlorothiazide,"160MG/12,5MG",0.0
NOVAVALZ PLUS,Valsartan / Hydrochlorothiazide,"160MG/12,5MG",0.0
COTAREG,Valsartan / Hydrochlorothiazide,"160MG / 12,5MG",0.0
"CO VALSARTAN
IVAL","Valsartan /
Hydrochlorothiazide","160MG/12,5MG",0.0
VALACLOR PLUS,"Valsartan /
Hydrochlorothiazide","160MG/12,5MG",0.0
DIVALAN PLUS,"Valsartan /
Hydrochlorothiazide","160MG / 12,5MG",0.0
THIA-VALSAN,"Valsartan /
Hydrochlorothiazide",160MG/25MG,0.0
COTAREG,"Valsartan /
Hydrochlorothiazide",160MG/25MG,0.0
CO VALASTAN,"Valsartan /
Hydrochlorothiazide",160MG/25MG,0.0
CO SARTEG,"Valsartan /
Hydrochlorothiazide",160MG/25MG,0.0
CO-ARBITAN,Valsartan / Hydrochlorothiazide,160MG/25MG,0.0
CO-RETA,Valsartan / Hydrochlorothiazide,160MG/25MG,0.0
VLASARTAN+HCTZ LDM,Valsartan / Hydrochlorothiazide,160MG/25MG,0.0
CO-VALEX,Valsartan / Hydrochlorothiazide,160MG/25MG,0.0
NOVAVALZ PLUS,"Valsartan /
Hydrochlorothiazide",160MG/25MG,0.0
"CO-VALSARTAN
IVAL","Valsartan /
Hydrochlorothiazide",160MG / 25MG,0.0
VALACLOR PLUS,"Valsartan /
Hydrochlorothiazide",160MG/25MG,0.0
COBEKTAL,"LOSARTAN POTASSIQUE/ HYDROCHLOROTHIAZID
E",100MG/25MG,0.0
CO-NORTA FORT,"LOSARTAN
POTASSIQUE/",100MG/25MG,0.0
FORTZAAR,"LOSARTAN
POTASSIQUE/ HYDROCHLOROTHIAZID",100MG/25MG,0.0
BEKTAL,LOSARTAN POTASSIQUE,100MG,0.0
COZAAR,LOSARTAN POTASSIQUE,50MG,0.0
COZAAR,LOSARTAN POTASSIQUE,100MG,0.0
NORTA FORT,LOSARTAN POTASSIQUE,100MG,0.0
LOSARTAN LDM,LOSARTAN POTASSIQUE,100MG,0.0
HYSARTAN,LOSARTAN POTASSIQUE,100MG,0.0
PERINDOPRIL BEKER,PERINDOPRIL TER-BUTYLAMINE,8MG,0.0
PERINDOSYL,PERINDOPRIL TER-BUTYLAMINE,8MG,0.0
CO  AVASART,IRBESARTAN / HYDROCHLOROTHIAZID E,300MG/25MG,0.0
CO-IRBEVEL,IRBESARTAN / HYDROCHLOROTHIAZID E,300MG / 25MG,0.0
CO APROSART,IRBESARTRAN / HYDROCHLOROTHIAZID E,300MG / 25MG,0.0
CO-ARADEX 300/25,IRBESARTAN / HYDROCHLOROTHIAZID E,300MG/25MG,0.0
CO-APRIVAL,IRBESARTAN / HYDROCHLOROTHIAZID E,300MG/25MG,0.0
CO-IRBEK,IRBESARTAN / HYDROCHLOROTHIAZID E,300MG/25MG,0.0
COAPROVEL,IRBESARTAN / HYDROCHLOROTHIAZID E,300MG/25MG,0.0
EXVAL,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/80MG,0.0
EXBITAN,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/80MG,0.0
AMLODIPINE+VAL SARTAN LDM,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/80MG,0.0
VESTAMOL,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/80MG,0.0
EXFORMEDIC,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/80MG,0.0
EXSART,"AMLODIPINE BESYLATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/80MG,0.0
DARTIX,"AMLODIPINE BESYLATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/80MG,0.0
AMLOVAL,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/80MG,0.0
EXFORGE,"AMLODIPINE BESYLATE EXPRIME EN AMLODIPINE/
VALSARTAN",5MG/80MG,0.0
AMPLID,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/160MG,0.0
DARTIX,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/160MG,0.0
VALAMLO ALEMBIC MAMI,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/160MG,0.0
EXVAL,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/160MG,0.0
EXBITAN,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/160MG,0.0
AMLODIPINE+VAL SARTAN LDM,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/160MG,0.0
VESTAMOL,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/160MG,0.0
EXFORMEDIC,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/160MG,0.0
EXSART,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/160MG,0.0
AMLOVAL,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",5MG/160MG,0.0
EXFORGE,"AMLODIPINE BESYLATE EXPRIME EN AMLODIPINE/
VALSARTAN",5MG/160MG,0.0
AMPLID,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",10MG/160MG,0.0
EXVAL,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",10MG/160MG,0.0
EXBITAN,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",10MG/160MG,0.0
"AMLODIPINE+VAL
SARTAN LDM","AMLODIPINE BESILATE
EXPRIME EN",10MG/160MG,0.0
VESTAMOL,"AMLODIPINE BESILATE
EXPRIME EN",10MG/160MG,0.0
EXSART,"AMLODIPINE BESYLATE
EXPRIME EN",10MG/160MG,0.0
DARTIX,"AMLODIPINE BESILATE EXPRIME EN AMLODIPINE /
VALSARTAN",10MG/160MG,0.0
EXFORMEDIC,"AMLODIPINE BESILATE
EXPRIME EN AMLODIPINE /",10MG/160MG,0.0
AMLOVAL,"AMLODIPINE BESILATE
EXPRIME EN AMLODIPINE /",10MG/160MG,0.0
EXFORGE,"AMLODIPINE BESYLATE
EXPRIME EN",10MG/160MG,0.0
OLMETEC,OLMESARTAN MEDOXOMIL,10MG,0.0
OLMETEC,"OLMESARTAN
MEDOXOMIL",20MG,0.0
OLMETEC,OLMESARTAN MEDOXOMIL,40MG,0.0
MICARDIS,TELMISARTAN,40MG,0.0
TENSOTEL,TELMISARTAN,40MG,0.0
TELMISARTE,TELMISARTAN,40MG,0.0
TELMIDIS,TELMISARTAN,40MG,0.0
BEKERDIS,TELMISARTAN,40MG,0.0
CARDITEL,TELMISARTAN,40MG,0.0
TELMISARTAN ZENTIVA,TELMISARTAN,40MG,0.0
MICARDIS,TELMISARTAN,80MG,0.0
TENSOTEL,TELMISARTAN,80MG,0.0
TELMIDIS,TELMISARTAN,80MG,0.0
TELMISARTE,TELMISARTAN,80MG,0.0
BEKERDIS,TELMISARTAN,80MG,0.0
TELMISARTAN ZENTIVA,TELMISARTAN,80MG,0.0
MICARDIS PLUS,TELMISARTAN/HYDROC HLOROTHIAZIDE,"40MG/12,5MG",0.0
TELMISARTE +,TELMISARTAN/HYDROC HLOROTHIAZIDE,"40MG/12,5MG",0.0
TELMISARTE+,TELMISARTAN/HYDROC HLOROTHIAZIDE,"80MG/12,5MG",0.0
MICARDIS PLUS,"TELMISARTAN/HYDROC
HLOROTHIAZIDE","80MG/12,5MG",0.0
DELAKET,DELAPRIL,30MG,0.0
TANATRIL +,Ramipril / Hydrochlorothiazide,"5MG/12,5MG",0.0
CORENIPRIL,Ramipril / Hydrochlorothiazide,"5MG/12,5MG",0.0
CORENIPRIL,Ramipril / Hydrochlorothiazide,10MG/25MG,0.0
TANATRIL +,Ramipril / Hydrochlorothiazide,10MG/25MG,0.0
TRITAZIDE,"Ramipril /
Hydrochlorothiazide",10MG/25MG,0.0
COVERSYL,PERINDOPRIL ARGININE,5MG,0.0
COVERSYL,PERINDOPRIL ARGININE,10MG,0.0
IMINOPRIL 20,IMIDAPRIL CHLORHYDRATE,20MG,0.0
TRIACOR,RAMIPRIL / FELODIPINE,"2,5MG/2,5MG",0.0
TRITAZIDE,Ramipril / Hydrochlorothiazide,"10MG/12,5MG",0.0
TANATRIL +,Ramipril / Hydrochlorothiazide,"10MG/12,5MG",0.0
ATENOCLOR,"ATENOLOL /
CHLORTHALIDONE","50MG/12,5MG",0.0
"PRETERAX
ARGININE","PERINDOPRIL ARGININE
/ INDAPAMIDE","2,5MG/0,625MG",0.0
"BIPRETERAX
ARGININE","PERINDOPRIL ARGININE
/ INDAPAMIDE","5MG/1,25MG",0.0
CO SARTEG,Valsartan / Hydrochlorothiazide,320MG/25MG,0.0
"VALCARD
ALEMBIC MAMI",VALSARTAN,320MG,0.0
SARTEG,VALSARTAN,320MG,0.0
EXIRB,"AMLODIPINE
BESILATE/IRBESARTAN",5MG/150 MG,0.0
APROVASC,"IRBéSARTAN/BéSILATE
D'AMLODIPINE",150MG/5MG,0.0
APROVASC,"IRBéSARTAN/BéSILATE
D'AMLODIPINE",150MG/10MG,0.0
EXIRB,IRBéSARTAN/BéSILATE D'AMLODIPINE,300MG/5MG,0.0
APROVASC,"IRBéSARTAN/BéSILATE
D'AMLODIPINE",300MG/5MG,0.0
APROVASC,IRBESARTAN/ AMLODIPINE (BESILATE),300MG/10MG,0.0
CLOXTON,ACEBUTOLOL CHLORHYDRATE,200MG,0.0
SEBUTOL,"ACEBUTOLOL
CHLORHYDRATE",200MG,0.0
ACEBUTOLOL IVAL,ACEBUTOLOL,200MG,0.0
CARDITAL,"CHALCOEBRUHTYODRLOALTE
CHLORHYDRATE",200MG,0.0
"ACEBUTOLOL
SANDOZ","ACEBUTOLOL
CHLORHYDRATE",200MG,0.0
SECTRAL,ACEBUTOLOL CHLORHYDRATE,200MG,0.0
ACEBUTOLOL IVAL,ACEBUTOLOL CHLORHYDRATE,400MG,0.0
SECTRAL,ACEBUTOLOL CHLORHYDRATE,400MG,0.0
ATENOR,ATENOLOL,100MG,0.0
ATINAL,ATENOLOL,100MG,0.0
DAGHTAN 100,ATENOLOL,100MG,0.0
METOCROVIS,"METOPROLOL
TARTRATE",200MG,0.0
LOPRESSOR  LP,METOPROLOL,200MG,0.0
METOPRESS,"METOPROLOL
SUCCINATE EXPRIME EN",200MG,0.0
"METOPROLOL 200
STADA RETARD",METOPROLOL,200MG,0.0
INDICARDIN,PROPRANOLOL,40MG,0.0
FEDICARD,PROPRANOLOL CHLORHYDRATE,40MG,0.0
INDRANOL,PROPRANOLOL,40MG,0.0
AVLOCARDYL,PROPRANOLOL,40MG,0.0
FENOTYL LP,"PROPRANOLOL
CHLORHYDRATE",160MG,0.0
ATINAL,ATENOLOL,50MG,0.0
DAGHTAN 50,ATENOLOL,50MG,0.0
CIRBESA,BISOPROLOL FUMARATE,10MG,0.0
BIPROTENS,BISOPROLOL FUMARATE,10MG,0.0
BONACOR,BISOPROLOL FUMARATE,10MG,0.0
BISOPROLOL HUP,BISOPROLOL FUMARATE,10MG,0.0
BISOPROLOL BEKER,BISOPROLOL FUMARATE,10MG,0.0
BYZOLEX,BISOPROLOL FUMARATE,10MG,0.0
BISOPROLOL MM,BISOPROLOL FUMARATE,10MG,0.0
PRODOL,BISOPROLOL FUMARATE,10MG,0.0
DIPROLOL,BISOPROLOL FUMARATE,10MG,0.0
DETENPRESS,BISOPROLOL FUMARATE,10MG,0.0
LOPRESS,METOPROLOL TARTRATE,100MG,0.0
DILACARD,CARVEDILOL,"6,25MG",0.0
CARVEDILOL LDM,CARVEDILOL,"6,25MG",0.0
DILACARD,CARVEDILOL,25MG,0.0
CARVEDILOL LDM,CARVEDILOL,25MG,0.0
DILACARD,CARVEDILOL,"12,5MG",0.0
DILACARD,CARVEDILOL,"3,125MG",0.0
BIPROTENS,BISOPROLOL FUMARATE,5MG,0.0
BONACOR,BISOPROLOL FUMARATE,5MG,0.0
BISOPROLOL BEKER,BISOPROLOL FUMARATE,5MG,0.0
PRODOL,BISOPROLOL FUMARATE,5MG,0.0
BISOPROLOL MM,BISOPROLOL FUMARATE,5MG,0.0
DIPROLOL,BISOPROLOL FUMARATE,5MG,0.0
TEMERIT,NEBIVOLOL CHLORHYDRATE EXPRIME EN NEBIVOLOL,5MG,0.0
FENOTYL LP,"PROPRANOLOL
CHLORHYDRATE",80MG,0.0
CO BIPROTENS,"BISOPROLOL FUMARATE
/ HYDROCHLOROTHIAZID E","5MG/6,25MG",0.0
CO BIPROTENS,"BISOPROLOL FUMARATE
/ HYDROCHLOROTHIAZID","10MG/6,25MG",0.0
METOPRESS,"METOPROLOL
SUCCINATE EXPRIME EN",100MG,0.0
NAGOXIN,DIGOXINE,"0,25MG",0.0
DEXOREN,DIGOXINE,"0,25MG",0.0
"DIGOXINE
NATIVELLE",DIGOXINE,"0,25MG",0.0
DIGOXINE STREULI,DIGOXINE,"0,25MG",0.0
DIGOXINE CPCM,DIGOXINE,"0,25MG",0.0
XINECOR,DIGOXINE,"0,05MG/ML",0.0
"DIGOXINE
STREULI",DIGOXINE,"0,125MG",0.0
DIAMOX,ACETAZOLAMIDE,500 MG,0.0
LYNOX,ACETAZOLAMIDE,250MG,0.0
DIURAZOL,ACETAZOLAMIDE,250MG,0.0
DIUSEMIDE,FUROSEMIDE,20MG/2ML,0.0
RAZOLIX,FUROSEMIDE,20MG/2ML,0.0
FUROZAL,FUROSEMIDE,20MG/2ML,0.0
FUROZAL FAIBLE,FUROSEMIDE,20MG,0.0
FUROSEMIDE ARROW,FUROSEMIDE,20MG,0.0
LASILIX,FUROSEMIDE,20MG,0.0
FUROZAL,FUROSEMIDE,40MG,0.0
FUROSEMIDE HUP,FUROSEMIDE,40MG,0.0
FUROSEMIDE IVAL,FUROSEMIDE,40MG,0.0
FUROSAN,FUROSEMIDE,500MG,0.0
CROTIAZIDE,"AMILORIDE (SOUS
FORME DE CHLORHYDRATE)**/HY",5MG**/50MG,0.0
AMURETIC,"AMILORIDE
CHLORHYDRATE / HYDROCHLOROTHIAZID",5MG/50MG,0.0
DUDREX,"AMILORIDE CHLORHYDRATE / HYDROCHLOROTHIAZID
E",5MG/50MG,0.0
DIRIL,"AMILORIDE (SOUS
FORME DE",5MG**/50MG,0.0
SPIRONOLONE,"SPIRONOLACTONE
MICRONISEE",75MG,0.0
ALDACTONE,"SPIRONOLACTONE
MICRONISEE",75MG,0.0
SPIROZIDE,"SPIRONOLACTONE /
ALTIZIDE",25MG/15MG,0.0
ALDACTAZINE,SPIRONOLACTONE/ALTI ZIDE,25MG/15MG,0.0
FLUMIDE,INDAPAMIDE,"1,5MG",0.0
NATRIXAL,INDAPAMIDE,"1,5MG",0.0
ADEX LP,INDAPAMIDE,"1,5MG",0.0
"INDAPAMIDE
BEKER",INDAPAMIDE,"1,5MG",0.0
FLUDEX LP,INDAPAMIDE,"1,5MG",0.0
HYDREX,"HYDROCHLOROTHIAZID
E",25MG,0.0
NAFTILENE,NAFTIDROFURYL HYDROGENO-OXALATE,100MG,0.0
PRAXILENE,NAFTIDROFURYL,100MG,0.0
PRAXILENE,"NAFTIDROFURYL
HYDROGENO-OXALATE",200MG,0.0
NAFTIRETARD LP,"NAFTIDROFURYL
HYDROGENO-OXALATE",200MG,0.0
TORENTAL  LP,PENTOXIFYLLINE,400MG,0.0
PENTORENTAL,PENTOXIFYLLINE,400MG,0.0
PENTOXIFYLLINE MYLAN,PENTOXIFYLLINE,400MG,0.0
TICLID,TICLOPIDINE   (SOUS FORME DE CHLORHYDRATE)**,250MG,0.0
TRIMETAZIDINE IVAL,TRIMETAZIDINE DICHLORHYDRATE,20MG,0.0
VASTOR,TRIMETAZIDINE DICHLORHYDRATE,20MG,0.0
VEINOTREL,TRIMETAZIDINE DICHLORHYDRATE,20MG,0.0
TRIMETAZIDINE B,TRIMETAZIDINE DICHLORHYDRATE,20MG,0.0
WAZTORON,TRIMETAZIDINE DICHLORHYDRATE,20MG,0.0
CLOPIX,"CLOPIDOGREL HYDROGENOSULFATE EXPRIME EN
CLOPIDOGREL",75MG,0.0
PLAGREL,"CLOPIDOGREL HYDROGENOSULFATE EXPRIME EN
CLOPIDOGREL",75MG,0.0
CLOPLAV,CLOPIDOGREL BISULFATE EXPRIME EN CLOPIDOGREL,75MG,0.0
PIDOGREL,"CLOPIDOGREL HYDROGENOSULFATE EXPRIME EN
CLOPIDOGREL",75MG,0.0
CLOPIDOGREL LDM,CLOPIDOGREL HYDROGENOSULFATE EXPRIME EN CLOPIDOGREL,75MG,0.0
"CLOPIDOGREL
NOVAGENERICS","CLOPIDOGREL
HYDROGENE EXPRIME",75MG,0.0
CLOPIVAL,"CLOPIDOGREL
HYDROGENOSULFATE",75MG,0.0
DAZIL,"CLOPIDOGREL
HYDROGENOSULFATE EXPRIME EN",75MG,0.0
PRAVASOR,"CLOPIDOGREL HYDROGENOSULFATE EXPRIME EN
CLOPIDOGREL",75MG,0.0
PLAVIX,CLOPIDOGREL HYDROGENOSULFATE EXPRIME EN CLOPIDOGREL,75MG,0.0
CLODIPRAL,CLOPIDOGREL HYDROGENOSULFATE EXPRIME EN CLOPIDOGREL,75MG,0.0
"TRIMETAZIDINE
UPC",TRIMETAZIDINE,20MG/ML,0.0
RIMETAZE LM,TRIMETAZIDINE DICHLORHYDRATE,35MG,0.0
VASTAREL,TRIMETAZIDINE DICHLORHYDRATE,35MG,0.0
CARDIOFLUX,"CLOPIDOGREL / ACIDE
ACETYLSALICYLIQUE",75MG/75MG,0.0
PLAVIX,CLOPIDOGREL HYDROGENOSULFATE EXPRIME EN CLOPIDOGREL,300 MG,0.0
DAFLON,"FLAVONOIDES EXTRAITS
DE RUTACEES (SOIT EN","300MG (150MG
EN DIOSMINE ET",0.0
DIOSMINE UPC,DIOSMINE,300MG,0.0
DIOVEINE,DIOSMINE,300MG,0.0
LAMOVEN,DIOSMINE,300MG,0.0
CYCLO 3 FORT,RUSCUS/HESPERIDINE METHYLCHALCONE/ACI DE ASCORBIQUE,"150MG/150MG/1
00MG",0.0
DIOVEINE,DIOSMINE,600MG,0.0
DIOVENOR 600MG,DIOSMINE ANHYDRE ET PURE,600MG,0.0
DIOSMINE MYLAN,DIOSMINE,600MG,0.0
DIOSMINE GGAM,DIOSMINE,600MG,0.0
VENOSMIL,HYDROSMINE,200MG,0.0
DAFLON,"FRACTION
FLAVONOIQUE PURIFIEE","500MG (450MG
EN DIOSMINE ET",0.0
RESIVEN,CITROFLAVONOIDE/CIT RATE DE MAGNESIUM/ACIDE ASCORBIQUE,"200MG/133MG/1
50MG/5ML",0.0
GINKOR FORT,"GINKGO
BILOBA,EXTRAIT STANDARTISE TITRE A","0,014G/0,3G**/0,
3G",0.0
LIPOCARD,FENOFIBRATE MICRONISE,200MG,0.0
"FENOFIBRATE
HUP","FENOFIBRATE
(MICRONISE)",200MG,0.0
FENOFIBRATE IVAL,FENOFIBRATE,200MG,0.0
LIPOFIBRATE,FENOFIBRATE,200MG,0.0
LIPANOR,CIPROFIBRATE,100MG,0.0
ELISOR,"PRAVASTATINE (SOUS
FORME SODIQUE)**",20MG,0.0
PRASIVAST,"PRAVASTATINE
SODIQUE",20MG,0.0
SOCOB,SIMVASTATINE,20MG,0.0
SIMVASTATINE BIOCARE,SIMVASTATINE,20MG,0.0
VASTA,SIMVASTATINE,20MG,0.0
SIVACOR,SIMVASTATINE,20MG,0.0
SIMVASTATINE LDM,SIMVASTATINE,20MG,0.0
KOLESTINE 20,SIMVASTATINE,20MG,0.0
LIPONORM,SIMVASTATINE,20MG,0.0
ZOSTINE,SIMVASTATINE,20MG,0.0
SIMVASTAL,SIMVASTATINE,20MG,0.0
SIMVASTATINE WINTHROP,SIMVASTATINE,20MG,0.0
SIMVACOR,SIMVASTATINE,20MG,0.0
COLESTOR,FLUVASTATINE SODIQUE EXRIME EN FLUVASTATINE,40MG,0.0
FLUVASTATINE LDM,FLUVASTATINE SODIQUE,40MG,0.0
LESCOL,FLUVASTATINE SODIQUE EXRIME EN FLUVASTATINE,40MG,0.0
ATEROMIXOL,POLICOSANOL,5MG,0.0
ATEROMIXOL,POLICOSANOL,10MG,0.0
TARDEN,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,10MG,0.0
ATORIN 10MG,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,10MG,0.0
AROVAN,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,10MG,0.0
ATORVASTATINE GEBER,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,10MG,0.0
TORVAST,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,10MG,0.0
TORVASTATINE,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,10MG,0.0
ATOR 10MG,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,10MG,0.0
ATORVASTATINE MM,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,10MG,0.0
ATORVASTATINE LDM,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,10MG,0.0
VASKOL 10,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,10MG,0.0
LIPOSTATINE,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,10MG,0.0
ATORVASTATINE NOVAGENERICS,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,10MG,0.0
TAHOR,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,10MG,0.0
ATORVASTATINE IVAL,"ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN
ATORVASTATINE",10MG,0.0
TEOLAR,"ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN
ATORVASTATINE",10MG,0.0
LIPONIL,"ATORVASTATINE
CALCAITQOUREVTARSITHAYTDINREATEE",10MG,0.0
LIPOVAST 10,CALCIQUE TRIHYDRATEE,10MG,0.0
LIPICARE,ATORVASTATINE,10MG,0.0
LIPODAR 10,"CALCAITQOUREVTARSITHAYTDINREATEE
CALCAITQOUREVTARSITHAYTDINREATEE",10MG,0.0
ATOVAL,CALCIQUE TRIHYDRATEE,10MG,0.0
SOCOB,SIMVASTATINE,40MG,0.0
SIMVASTATINE LDM,SIMVASTATINE,40MG,0.0
KOLESTINE,SIMVASTATINE,40MG,0.0
ZOSTINE,SIMVASTATINE,40MG,0.0
SIMVACOR,SIMVASTATINE,40MG,0.0
SIMVACOR,SIMVASTATINE,10MG,0.0
LIPANTHYL,FENOFIBRATE,160MG,0.0
FENATE,FENOFIBRATE,160MG,0.0
FENOFIBRATE MM,FENOFIBRATE,160MG,0.0
TARDEN,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
ATORIN 20MG,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
LIPICARE,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
AROVAN,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
ATORVASTATINE GEBER,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
TORVAST,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
TORVASTATINE,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
ATOR 20MG,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
ATORVASTATINE LDM,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
VASKOL 20,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
LIPOSTATINE,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
ATORVASTATINE NOVAGENERICS,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
TAHOR,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
ATORVASTATINE IVAL,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
TEOLAR,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
LIPONIL 20,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
LIPOVAST 20,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
LIPODAR 20,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
ATOVAL,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,20MG,0.0
TARDEN,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,40MG,0.0
ATORIN 40MG,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,40MG,0.0
LIPICARE,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,40MG,0.0
AROVAN,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,40MG,0.0
ATORVASTATINE GEBER,ATORVASTATINE CALCIQUE TRIHYDRATEE EXPRIME EN ATORVASTATINE,40MG,0.0
ATOR 40MG,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,40MG,0.0
ATORVASTATINE LDM,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,40MG,0.0
ATORVASTATINE NOVAGENERICS,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,40MG,0.0
TAHOR,ATORVASTATINE CALCIQUE TRIHYDRATE EXPRIME EN ATORVASTATINE,40MG,0.0
