Nom_Commercial,DCI,Dosage,Prix_DZD
ALUSTAL,"EXTRAITS ALLERGENIQUES MELANGE DE 5
GRAMINES","0,1IR/ML+1IR/ML
+10IR/ML",0.0
ALUSTAL,"EXTRAITS ALLERGENIQUES MELANGE DE 5
GRAMINES",10IR/ML,0.0
STALORAL,"EXTRAITS
ALLERGENIQUES DERMARTOPHAGOIDES PTERONYSSINUS /","10+100+300
IR/ML - 300 IR/ML",0.0
RAPIFEN,ALFENTANYL,1MG/2ML,0.0
"FENTANYL
JANSSEN","FENTANYL CITRATE
EXPRIME EN FENTANYL","0,05MG/ML
(0,5MG/10ML)",0.0
FENTANYL JANSSEN,FENTANYL CITRATE EXPRIME EN FENTANYL,"0,1MG/AMP.",0.0
SUFENTA,"SUFENTANIL CITRATE EXPRIME EN
SUFENTANIL",250µG/5ML,0.0
RAPIFEN,ALFENTANYL,5MG/10ML,0.0
SUFENTA,"SUFENTANIL CITRATE
EXPRIME EN","5µG/ML
(10µG/2ML -",0.0
REMIFENTANIL MYLAN,CHLORHYDRATE DE REMIFENTANIL,2MG/ FLACON,0.0
REMIFENTANIL MYLAN,CHLORHYDRATE DE REMIFENTANIL,5MG/FLACON,0.0
HALOTHANE BP,HALOTHANE,100%,0.0
FORENE,ISOFLURANE,100ML/100ML,0.0
AERRANE,ISOFLURANE,"100ML/100ML -
250ML/250ML",0.0
KETAMILE,KETAMINE CHLORHYDRATE EXPRIME EN KETAMINE,50MG/ML,0.0
KETAMINE-50,KETAMINE CHLORHYDRATE EXPRIME EN KETAMINE,50MG/ML,0.0
PROVIVE,PROPOFOL,"1% (OU
10MG/ML)",0.0
PROPOFOL FRESENIUS 1%,PROPOFOL,"1% (OU
10MG/ML) ( OU
200MG/20ML)",0.0
"THIOPENTAL 0,5G ROTEXMEDICA",THIOPENTAL SODIQUE,"0,5G",0.0
THIOPENTAL,THIOPENTAL SODIQUE,1G,0.0
"THIOPENTAL 1G
ROTEXMEDICA",THIOPENTAL SODIQUE,1G,0.0
OXYGENE MEDICINAL LIQUIDE LINDE GAS ALGERIE,Oxygene médicinal liquide,"OXYGENE PURTE
> OU = à 99,5 % SOUS PRESSION 1 A 15 BAR DE -
180°C A-150°C",0.0
OXYGENE MEDICINAL AIR LIQUID 200BAR,OXYGENE MEDICINAL GAZ,,0.0
OXYGENE MEDICINAL LIQUIDE AIR LIQUIDE,"OXYGENE  PURETE 99,50 %  SOUS PRESSION DE 10 BAR A 15 BAR  DE -155° C A -
145 ° C",,0.0
PROTOXYDE D'AZOTE,PROTOXYDE D'AZOTE,,0.0
ANESTANE,HALOTHANE,"100% STABILISE
PAR THYMOL",0.0
SEVORANE,SEVOFLURANE,"100ML/100ML DE
LIQUIDE POUR INHALATION PAR",0.0
SEVOFLURANE USP,SEVOFLURANE,100ML/100ML DE LIQUIDE POUR INHALATION PAR VAPEUR,0.0
HYPNOMIDATE,ETOMIDATE,2MG/ML,0.0
BRIDION,"SUGAMMADEX
SODIQUE EXPRIME EN","100MG/ML
(200MG/2ML)",0.0
DIPRIVAN,PROPOFOL,10MG/ML,0.0
DIPRIVAN,PROPOFOL,20mg/ml,0.0
BUPIVACAINE MYLAN,BUPIVACAINE CHLORHYDRATE ANHYDRE,0.5%,0.0
XYLOCAINE,LIDOCAINE CHLORHYDRATE,1%,0.0
UNICAINE 1%,"LIDOCAINE
CHLORHYDRATE",1%,0.0
XYLOCAINE,"LIDOCAINE
CHLORHYDRATE",2%,0.0
